PathFileType	4	(X/Y/Z)	squat.trc																																					
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																	
120	120	1544	8	mm	120	0	1544																																	
frame#	Time	Ankle_4	Ankle_4	Ankle_4	Ankle_3	Ankle_3	Ankle_3	Ankle_2	Ankle_2	Ankle_2	Ankle_1	Ankle_1	Ankle_1	Tibia_2	Tibia_2	Tibia_2	Pelvis_1	Pelvis_1	Pelvis_1	Pelvis_2	Pelvis_2	Pelvis_2	Femur_1 	Femur_1 	Femur_1 	Femur_2	Femur_2	Femur_2	Tibia_1	Tibia_1	Tibia_1	Ankle_5	Ankle_5	Ankle_5	Unlabeled:5029	Unlabeled:5029	Unlabeled:5029	Unlabeled:5030	Unlabeled:5030	Unlabeled:5030
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	Z8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X12	Y12	Z12
																																								
																																								
																																								
																																								
																																								
39	0.325	-183.830994	0.981119	255.899963	133.208862	1409.398315	168.613129	16.249542	-0.232766	257.736023	18.832483	-2.079778	-9.462301	133.844345	1280.023926	162.284836	159.91362	877.388855	139.955017	117.921227	233.808151	125.283775	162.854187	698.451721	119.995079	117.559906	109.109055	128.212769	116.666031	20.145056	132.757751	127.769051	1511.666016	171.765198						
40	0.333333	-183.90213	0.831481	255.854462	133.07132	1409.2229	168.532761	16.170214	-0.344048	257.684387	18.714405	-2.323583	-9.470806	133.709351	1279.881226	162.185822	159.809891	877.294495	139.904984	117.802719	233.512192	125.247139	162.735565	698.296387	119.903122	117.539818	109.090775	128.180542	116.738594	20.802006	132.429855	127.518761	1511.390381	171.591446						
41	0.341667	-183.906677	0.738319	255.827072	133.27269	1407.869141	169.080795	16.147392	-0.45554	257.639435	18.192518	-2.487122	-9.052079	133.614502	1279.822876	162.081314	159.740601	877.283325	139.874329	118.104614	234.652267	125.021637	162.913727	698.945129	119.780769	117.538086	109.081291	128.17627	116.773056	20.790562	132.443634	127.748978	1510.25708	171.741989						
42	0.35	-183.630646	1.371062	255.775925	133.150589	1407.804077	168.960114	16.13319	-0.511009	257.611816	18.911314	-1.579316	-9.877596	133.563416	1279.782715	161.985672	159.689636	877.256836	139.827927	118.083267	234.635727	124.994255	162.913605	698.880188	119.73484	117.519814	109.091599	128.203781	116.741455	20.848341	132.430069	128.108322	1509.799438	171.429764						
43	0.358333	-183.62413	1.340444	255.749588	133.067719	1407.828613	168.904755	16.139996	-0.475224	257.620911	18.896269	-1.604637	-9.884597	133.543533	1279.821289	161.944778	159.632584	877.241638	139.769333	118.085564	234.678146	124.99588	162.873062	698.902527	119.699783	117.503014	109.11631	128.195343	116.748055	20.84845	132.418213	128.589294	1509.581543	171.252655						
44	0.366667	-183.906311	0.716576	255.841553	133.038528	1407.96228	168.827774	16.148418	-0.421114	257.658539	18.187521	-2.376841	-9.046992	133.541794	1279.876587	161.884903	159.630814	877.302551	139.716141	118.097122	234.702438	124.982208	162.595886	698.2323	119.732353	117.533394	109.105194	128.201279	116.755867	20.829275	132.429535	128.683105	1509.802246	171.23349						
45	0.375	-183.889938	0.816368	255.882507	133.059464	1408.210693	168.718018	16.168972	-0.324118	257.7005	18.680443	-2.211704	-9.492183	133.549393	1280.008911	161.871185	159.646469	877.418762	139.67247	117.799774	233.630936	125.188026	162.622513	698.342529	119.689728	117.520348	109.11013	128.205551	116.778198	20.787834	132.373672	128.568222	1510.266724	171.274307						
46	0.383333	-183.805298	0.965898	255.913223	132.728027	1409.645752	168.022064	16.229239	-0.134075	257.753723	18.791161	-1.907251	-9.456575	133.59642	1280.197998	161.817322	159.693085	877.544006	139.584869	117.855103	233.948151	125.201462	162.6716	698.519043	119.675003	117.536354	109.084068	128.192581	116.602715	20.298584	132.735886	128.204285	1511.177124	170.968903						
47	0.391667	-183.666901	1.175967	255.936981	132.736603	1409.9021	167.89798	16.341301	0.052468	257.779663	18.902256	-1.646127	-9.455065	133.636353	1280.387329	161.718933	159.720947	877.706055	139.512238	117.978638	234.263168	125.234619	162.765106	698.787903	119.683243	117.530876	109.135635	128.189255	116.721985	20.582663	132.769272	128.04007	1511.511108	170.951767						
48	0.4	-183.593185	1.317305	255.93042	132.711929	1410.064575	167.774033	16.454065	0.232764	257.777924	19.0392	-1.49799	-9.433779	133.632523	1280.512695	161.603836	159.771484	877.78772	139.42572	118.069839	234.514175	125.281487	162.88913	698.967957	119.627747	117.54631	109.068214	128.162567	116.808617	20.80901	132.774658	127.856804	1511.705688	170.901871						
49	0.408333	-183.55159	1.415206	255.921188	132.648941	1410.136963	167.617691	16.483297	0.3276	257.779053	19.065733	-1.441608	-9.434191	133.592056	1280.57251	161.437057	159.786514	877.842957	139.341965	118.090065	234.604858	125.284973	162.944794	699.018066	119.57119	117.539131	109.080849	128.193558	116.840721	20.907528	132.822769	127.723816	1511.80481	170.81189						
50	0.416667	-183.561005	1.36299	255.936539	132.532318	1410.069214	167.487442	16.470959	0.288014	257.790192	19.03747	-1.450477	-9.445553	133.523285	1280.551392	161.301804	159.806702	877.843567	139.254868	118.073296	234.575134	125.257462	162.977219	698.952942	119.506615	117.533707	109.076599	128.170685	116.818321	20.879175	132.80452	127.581375	1511.800049	170.689484						
51	0.425	-183.615173	1.224109	255.946671	132.382385	1409.93457	167.36322	16.383467	0.109504	257.806763	18.969713	-1.628994	-9.434299	133.422882	1280.462524	161.185364	159.7668	877.719666	139.197662	118.031837	234.307465	125.235199	162.955124	698.806335	119.426605	117.552689	109.098236	128.200012	116.74659	20.641188	132.779022	127.417442	1511.685791	170.636551						
52	0.433333	-183.733032	0.971956	255.950928	132.221619	1409.714111	167.220184	16.264282	-0.125497	257.754578	18.850624	-1.918351	-9.465019	133.2444	1280.233398	161.057831	159.764694	877.59021	139.132294	117.924591	233.988052	125.193237	162.937271	698.523743	119.348732	117.562088	109.054405	128.164536	116.727882	20.329014	132.716827	127.283081	1511.467285	170.500015						
53	0.441667	-183.832123	0.809706	255.873886	132.008621	1409.418945	167.131729	16.194246	-0.324426	257.690857	18.720436	-2.214949	-9.459745	133.09256	1280.047119	160.891693	159.740021	877.429626	139.054596	117.903069	233.683075	125.174927	162.956879	698.279907	119.237724	117.600807	109.112671	128.178268	116.829407	20.819885	132.412186	127.321777	1510.607178	170.673401						
54	0.45	-183.88092	0.697975	255.861938	131.862549	1409.254272	167.031708	16.162317	-0.420469	257.666748	18.189629	-2.371808	-9.033584	132.981857	1279.926636	160.746918	159.750153	877.334412	138.968857	118.18911	234.697723	124.99836	163.31514	698.886047	119.097893	117.599922	109.122612	128.19191	116.858543	20.796579	132.400284	127.192062	1510.312378	170.655228						
55	0.458333	-183.587601	1.306413	255.764313	132.19989	1407.902222	167.689072	16.147329	-0.501983	257.628082	18.916105	-1.591355	-9.868175	132.885223	1279.825928	160.621521	159.823563	877.304138	138.910324	118.214294	234.734268	124.991356	163.425171	698.882507	119.133644	117.600906	109.121658	128.184921	116.840637	20.818575	132.419128	127.126442	1510.161987	170.559448						
56	0.466667	-183.579147	1.312965	255.776108	132.14061	1407.872681	167.640884	16.134478	-0.479089	257.621338	18.908695	-1.577113	-9.856703	132.840958	1279.736328	160.528839	159.888794	877.200439	138.873657	118.295593	234.718765	124.958	163.542191	698.900269	119.138512	117.643623	109.107185	128.203537	116.835899	20.775867	132.388626	127.091019	1510.09314	170.506836						
57	0.475	-183.909882	0.664004	255.821793	131.674301	1409.116455	166.851669	16.144732	-0.445814	257.635529	18.195368	-2.481187	-9.012592	132.806442	1279.734375	160.514862	159.974701	877.218994	138.866257	118.296257	234.71698	124.99012	163.645996	698.889099	119.184288	117.63324	109.138176	128.193588	116.839333	20.777761	132.379578	127.032059	1510.098511	170.431427						
58	0.483333	-183.869492	0.730759	255.861816	131.683167	1409.208862	166.791458	16.159101	-0.361437	257.684723	18.670773	-2.312705	-9.469954	132.810989	1279.780396	160.479431	160.07605	877.24231	138.89035	118.05027	233.628815	125.204239	163.485291	698.264038	119.296074	117.634483	109.145309	128.229858	116.818489	20.833851	132.440598	127.033936	1510.186646	170.365143						
59	0.491667	-183.825958	0.939638	255.898712	131.713989	1409.360596	166.72966	16.223545	-0.211553	257.737366	18.804771	-1.974168	-9.464532	132.816071	1279.865845	160.498245	160.214783	877.322571	138.905075	118.134117	233.93251	125.193237	163.648376	698.423096	119.387978	117.629333	109.133713	128.182449	116.684456	20.214098	132.724152	126.803085	1511.01355	169.952652						
60	0.5	-183.718246	1.17605	255.9151	131.738754	1409.565552	166.691315	16.324472	0.022666	257.778839	18.898289	-1.691776	-9.455403	132.860214	1279.994629	160.482697	160.350388	877.410339	138.922699	118.275299	234.306641	125.270981	163.855667	698.691895	119.509468	117.659904	109.118637	128.1866	116.746239	20.561981	132.756287	126.801491	1511.151855	169.923065						
61	0.508333	-183.615677	1.359457	255.892014	131.742462	1409.69458	166.655182	16.442728	0.206698	257.778595	18.996258	-1.489506	-9.463124	132.897415	1280.082764	160.470474	160.438171	877.488037	138.94223	118.364792	234.504166	125.25621	163.989471	698.85614	119.567482	117.676147	109.146301	128.201904	116.835121	20.771494	132.763794	126.76342	1511.210693	169.851639						
62	0.516667	-183.571533	1.3745	255.894089	131.688675	1409.732178	166.611969	16.475302	0.348726	257.773865	19.03879	-1.38919	-9.456987	132.856079	1280.063843	160.443253	160.47583	877.503601	138.927795	118.395737	234.626312	125.265373	164.262451	698.606812	119.153351	117.682365	109.111031	128.186508	116.909409	20.879576	132.803925	126.713486	1511.219604	169.796799						
63	0.525	-183.599838	1.395646	255.903961	131.578934	1409.700317	166.626282	16.462481	0.322287	257.786224	19.027149	-1.415048	-9.472302	132.793579	1280.026733	160.467041	160.469269	877.46814	138.925735	118.382423	234.654617	125.266327	164.080246	698.911743	119.586372	117.687393	109.137558	128.169037	116.856781	20.898882	132.827301	126.663429	1511.182495	169.736206						
64	0.533333	-183.669281	1.289041	255.90918	131.447388	1409.51355	166.632263	16.400967	0.145819	257.784088	18.939409	-1.559213	-9.427475	132.665405	1279.939575	160.456116	160.404541	877.405212	138.931885	118.32579	234.47963	125.282318	164.019424	698.762878	119.567062	117.699371	109.150963	128.205795	116.812386	20.69029	132.813385	126.521942	1511.068115	169.733109						
