,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.7,0.655275,1.960665,0.662984,1.836559,0.652597,1.706712,0.655574,1.532078,0.65538,1.291145,0.677956,1.108487,0.737066,0.900593,0.773155,0.523621,0.773837,0.133411
0.708333,0.655073,1.960621,0.662786,1.836545,0.652402,1.706658,0.655394,1.532042,0.655214,1.291052,0.677794,1.108424,0.736957,0.90059,0.773082,0.523544,0.77383,0.133373
0.716667,0.654899,1.96057,0.662555,1.836489,0.652228,1.706617,0.655235,1.531965,0.655059,1.29098,0.677706,1.108342,0.736882,0.900427,0.773043,0.523476,0.773815,0.133339
0.725,0.654668,1.960497,0.662367,1.836406,0.652042,1.706595,0.655045,1.531919,0.654883,1.290913,0.677612,1.108214,0.73675,0.900367,0.772938,0.523417,0.773781,0.1332
0.733333,0.654489,1.960449,0.662208,1.836359,0.651837,1.706546,0.654839,1.531879,0.654716,1.290803,0.677489,1.108159,0.736661,0.900292,0.772876,0.523387,0.773787,0.133191
0.741667,0.654247,1.960448,0.662004,1.836299,0.651602,1.706533,0.654656,1.531894,0.654523,1.290771,0.677397,1.108126,0.736531,0.900262,0.772831,0.523339,0.773775,0.133154
0.75,0.653958,1.960513,0.661778,1.836321,0.651394,1.706559,0.654416,1.531932,0.654317,1.290751,0.67727,1.108147,0.736437,0.900219,0.772758,0.523383,0.773786,0.133127
0.758333,0.653697,1.960593,0.661552,1.836336,0.65115,1.706593,0.654221,1.531985,0.654093,1.290786,0.677128,1.10818,0.736356,0.900194,0.772747,0.523404,0.773789,0.133184
0.766667,0.653378,1.960756,0.661377,1.836359,0.650875,1.706643,0.653982,1.532057,0.653863,1.29082,0.676994,1.1082,0.73628,0.90024,0.772729,0.523458,0.77382,0.133218
0.775,0.653033,1.96092,0.661167,1.836376,0.650592,1.706709,0.653729,1.532158,0.653639,1.290869,0.676928,1.108257,0.736293,0.900272,0.772811,0.523521,0.773833,0.133269
0.783333,0.652756,1.960999,0.660933,1.836383,0.65033,1.706815,0.653504,1.532228,0.653412,1.29098,0.676841,1.108305,0.736356,0.900283,0.772909,0.523556,0.773923,0.133346
0.791667,0.652518,1.960989,0.660702,1.836397,0.650076,1.706861,0.653299,1.532325,0.653275,1.290999,0.676754,1.108358,0.736446,0.900287,0.773051,0.523626,0.773965,0.1333
0.8,0.652271,1.960962,0.660468,1.836405,0.649829,1.706917,0.653073,1.532335,0.653133,1.290996,0.676766,1.108293,0.736592,0.900232,0.773268,0.523579,0.774071,0.133269
0.808333,0.652048,1.960797,0.660186,1.836319,0.649618,1.706941,0.65283,1.532366,0.653015,1.290991,0.676784,1.108212,0.736751,0.900133,0.773493,0.52355,0.774164,0.133156
0.816667,0.651823,1.960636,0.659912,1.836276,0.649365,1.706969,0.652581,1.532395,0.652912,1.290898,0.676828,1.108121,0.736922,0.900029,0.773735,0.523454,0.774231,0.132947
0.825,0.651575,1.96047,0.659664,1.836238,0.649073,1.706976,0.652302,1.532442,0.652773,1.290833,0.676815,1.108076,0.737048,0.89996,0.773963,0.523374,0.774348,0.132874
0.833333,0.651264,1.960406,0.659366,1.836181,0.648814,1.707034,0.651989,1.532575,0.652648,1.290811,0.676787,1.108067,0.737211,0.89989,0.774146,0.523315,0.774446,0.132769
0.841667,0.651028,1.960361,0.659089,1.836218,0.648532,1.707172,0.651629,1.532657,0.652444,1.290801,0.67673,1.10802,0.737233,0.899843,0.774234,0.523358,0.774519,0.132735
0.85,0.650755,1.960403,0.658795,1.836228,0.648235,1.707282,0.651301,1.53278,0.652275,1.290784,0.676634,1.108097,0.737167,0.89991,0.774287,0.523405,0.774577,0.132749
0.858333,0.65047,1.96057,0.658523,1.836302,0.647934,1.70742,0.650978,1.532927,0.651951,1.290857,0.676504,1.108192,0.736975,0.899999,0.77425,0.523534,0.774636,0.132838
0.866667,0.650185,1.960786,0.658332,1.836359,0.647693,1.70759,0.650658,1.533054,0.651657,1.290899,0.676249,1.10827,0.736774,0.900033,0.774186,0.523704,0.774698,0.13293
0.875,0.64989,1.960917,0.658184,1.836359,0.647404,1.707719,0.650326,1.533224,0.651295,1.290948,0.675843,1.108291,0.736429,0.900075,0.774046,0.523775,0.774715,0.13299
0.883333,0.649655,1.960927,0.658002,1.836357,0.647146,1.707802,0.649983,1.533358,0.650871,1.291013,0.675433,1.108335,0.736026,0.900034,0.773902,0.523817,0.774725,0.133009
0.891667,0.649457,1.960786,0.65779,1.836348,0.646865,1.707818,0.649647,1.533393,0.650475,1.291092,0.674911,1.108245,0.735635,0.899935,0.773695,0.523776,0.774724,0.13292
0.9,0.649201,1.960663,0.657556,1.836316,0.646583,1.707833,0.649253,1.533369,0.650068,1.291037,0.674456,1.108151,0.73524,0.899782,0.773489,0.523715,0.774703,0.132965
0.908333,0.64898,1.960424,0.657321,1.83626,0.646262,1.707746,0.648838,1.533392,0.649641,1.291036,0.674025,1.108115,0.734899,0.899636,0.773315,0.523585,0.77468,0.132799
0.916667,0.648727,1.960218,0.656993,1.836211,0.645844,1.70775,0.648371,1.533423,0.649141,1.291052,0.673548,1.108099,0.734517,0.899677,0.773161,0.523546,0.7747,0.13276
0.925,0.648417,1.960135,0.656636,1.836164,0.645368,1.707748,0.647807,1.533405,0.648723,1.291119,0.673162,1.108116,0.734154,0.89962,0.773029,0.523564,0.774676,0.132618
0.933333,0.648014,1.960227,0.656222,1.836133,0.644849,1.707907,0.64722,1.533486,0.648268,1.291201,0.672746,1.10814,0.733774,0.899656,0.772851,0.523654,0.774759,0.132751
0.941667,0.647542,1.960392,0.655763,1.836222,0.644323,1.708128,0.646575,1.533665,0.647811,1.291561,0.672297,1.10826,0.733436,0.899768,0.772675,0.523767,0.774764,0.132734
0.95,0.647034,1.960597,0.655258,1.836384,0.64378,1.708324,0.645901,1.53386,0.647248,1.291611,0.671775,1.108352,0.732971,0.899927,0.772486,0.523886,0.774846,0.132833
0.958333,0.646569,1.960671,0.654707,1.836485,0.643167,1.708532,0.645202,1.534089,0.646612,1.291429,0.67123,1.108431,0.732534,0.900077,0.772227,0.524009,0.774848,0.13287
0.966667,0.6461,1.960658,0.654097,1.836586,0.642547,1.708683,0.644581,1.534272,0.646007,1.291736,0.670701,1.108429,0.731972,0.900109,0.771983,0.5241,0.77486,0.132888
0.975,0.645451,1.960875,0.653537,1.836785,0.641896,1.708855,0.643964,1.534555,0.645314,1.291825,0.670038,1.108464,0.731393,0.900207,0.771668,0.524182,0.774872,0.132899
0.983333,0.644852,1.961089,0.652961,1.837013,0.641174,1.709093,0.643266,1.53478,0.644487,1.291718,0.669374,1.108567,0.730729,0.90022,0.771325,0.524289,0.774858,0.132973
0.991667,0.644214,1.961242,0.652248,1.837195,0.640503,1.709274,0.64256,1.534944,0.643709,1.291819,0.668625,1.108802,0.730009,0.900239,0.770969,0.524367,0.77484,0.132959
1,0.643651,1.961301,0.651588,1.837329,0.639757,1.709445,0.641768,1.535076,0.642929,1.291942,0.667779,1.109097,0.729258,0.900347,0.770574,0.524401,0.774768,0.133092
1.008333,0.6429,1.96158,0.650889,1.83754,0.639064,1.709648,0.640955,1.53525,0.642119,1.292268,0.666932,1.109249,0.728439,0.900511,0.770111,0.524561,0.774749,0.133127
1.016667,0.642237,1.961742,0.650224,1.837754,0.638388,1.709831,0.640136,1.535514,0.64121,1.292502,0.666101,1.109433,0.727664,0.90072,0.76962,0.524716,0.774711,0.133272
1.025,0.641556,1.961837,0.649485,1.837896,0.637594,1.710052,0.639303,1.535752,0.640322,1.29269,0.665215,1.109606,0.726836,0.900924,0.769107,0.524885,0.774705,0.13345
1.033333,0.640815,1.962111,0.648743,1.838038,0.636727,1.710257,0.638516,1.536013,0.639424,1.292696,0.664386,1.109601,0.725989,0.90106,0.768607,0.525075,0.774631,0.133504
1.041667,0.640166,1.96229,0.647956,1.838155,0.635916,1.71035,0.637688,1.536116,0.638461,1.292894,0.663426,1.109685,0.725074,0.901235,0.768082,0.525181,0.774613,0.133627
1.05,0.639593,1.962379,0.647288,1.83845,0.635208,1.710453,0.636853,1.536108,0.637623,1.29308,0.66242,1.109631,0.724028,0.901279,0.767568,0.525347,0.77449,0.133757
1.058333,0.638941,1.962521,0.646688,1.838633,0.634529,1.710588,0.636057,1.536098,0.636802,1.293271,0.661384,1.109747,0.723034,0.901223,0.766975,0.525473,0.774397,0.133793
1.066667,0.638277,1.962668,0.646152,1.838648,0.633868,1.710659,0.635341,1.536164,0.635893,1.293324,0.660382,1.10997,0.72201,0.901252,0.766303,0.525703,0.774296,0.133845
1.075,0.637838,1.962761,0.64554,1.838589,0.633245,1.710688,0.634682,1.536231,0.635,1.293392,0.659444,1.110176,0.720993,0.90139,0.765571,0.525954,0.774195,0.133947
1.083333,0.637527,1.962769,0.644983,1.838706,0.632692,1.710803,0.634085,1.536335,0.63413,1.293386,0.658577,1.110165,0.719976,0.901483,0.764889,0.526068,0.774041,0.134025
1.091667,0.637137,1.96294,0.644488,1.838861,0.632314,1.710947,0.633521,1.53636,0.633426,1.29346,0.657678,1.110172,0.718954,0.901613,0.76418,0.526252,0.773926,0.134116
1.1,0.636715,1.963259,0.644071,1.838909,0.631922,1.71111,0.632949,1.53652,0.632694,1.293587,0.656782,1.110296,0.717922,0.901811,0.76347,0.526348,0.7738,0.134278
1.108333,0.636475,1.963476,0.643756,1.839077,0.631543,1.711216,0.632564,1.536813,0.632044,1.293806,0.655943,1.110523,0.716941,0.90203,0.762804,0.526463,0.773621,0.134513
1.116667,0.636118,1.963877,0.643544,1.839352,0.631263,1.711431,0.632201,1.53706,0.631427,1.294128,0.655197,1.110826,0.71609,0.902214,0.762197,0.526762,0.773513,0.134716
1.125,0.635831,1.96409,0.643378,1.839584,0.630989,1.711655,0.631873,1.537174,0.630816,1.294508,0.654466,1.111053,0.715356,0.902424,0.761571,0.526897,0.773418,0.134914
1.133333,0.635687,1.964285,0.643202,1.839731,0.630813,1.711829,0.631585,1.537205,0.630321,1.294596,0.65395,1.111232,0.714753,0.902638,0.76115,0.526993,0.773269,0.135045
1.141667,0.635589,1.964406,0.643053,1.839807,0.630647,1.711887,0.631324,1.537141,0.629952,1.29464,0.653553,1.111321,0.714206,0.902665,0.760741,0.527111,0.773165,0.13518
1.15,0.635668,1.963906,0.642895,1.839872,0.630557,1.711803,0.631066,1.537223,0.629654,1.294765,0.653164,1.111303,0.71376,0.902621,0.760381,0.527153,0.77304,0.135216
1.158333,0.635409,1.964012,0.642735,1.840031,0.630514,1.711789,0.630897,1.537298,0.629408,1.294745,0.65281,1.111181,0.713281,0.902628,0.760011,0.52728,0.772965,0.135252
1.166667,0.63514,1.964198,0.642678,1.840142,0.630402,1.711901,0.630665,1.537303,0.62914,1.294837,0.65258,1.111078,0.712893,0.902729,0.759722,0.527408,0.7729,0.135259
