,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.566667,0.126073,2.905411,0.131248,2.835949,0.136923,2.711444,0.146403,2.336063,0.152405,2.024904,0.158206,1.758925,0.181844,1.343896,0.265974,1.019796,0.373776,0.644558
0.575,0.12605,2.90532,0.131254,2.835892,0.136942,2.711393,0.146418,2.336026,0.15292,2.024311,0.158406,1.758847,0.18216,1.34424,0.266646,1.020113,0.374682,0.644819
0.583333,0.126019,2.905172,0.131191,2.835841,0.136998,2.711268,0.146467,2.335936,0.153116,2.024131,0.158606,1.758767,0.182547,1.344372,0.267266,1.020408,0.375641,0.645081
0.591667,0.130581,2.906252,0.131252,2.835744,0.137288,2.710795,0.146532,2.335764,0.153216,2.024008,0.158829,1.758621,0.182964,1.344818,0.267958,1.020611,0.376702,0.645221
0.6,0.130668,2.906216,0.136173,2.831665,0.137348,2.710665,0.146613,2.335596,0.15334,2.02381,0.159094,1.75847,0.183457,1.34489,0.268683,1.020764,0.377597,0.645584
0.608333,0.130622,2.906135,0.136264,2.831551,0.137373,2.710587,0.146677,2.335504,0.153454,2.023718,0.15932,1.758399,0.183971,1.344993,0.269462,1.02099,0.37864,0.64583
0.616667,0.130663,2.906137,0.13623,2.831547,0.137386,2.710529,0.146729,2.335479,0.153611,2.023689,0.1596,1.758352,0.184482,1.345222,0.270166,1.021087,0.379706,0.646225
0.625,0.130698,2.906117,0.136235,2.831519,0.137382,2.710549,0.146752,2.335478,0.153802,2.023732,0.159866,1.758439,0.1851,1.345447,0.270802,1.021835,0.380762,0.646672
0.633333,0.1307,2.906127,0.136288,2.831484,0.137377,2.710628,0.146787,2.335566,0.153933,2.023887,0.160162,1.758566,0.18571,1.345812,0.271535,1.022259,0.381893,0.647277
0.641667,0.126138,2.904914,0.131319,2.835601,0.137387,2.710671,0.146814,2.335709,0.154116,2.024006,0.160455,1.758707,0.186304,1.346192,0.272394,1.022671,0.38302,0.647862
0.65,0.126202,2.90507,0.131344,2.835576,0.137092,2.711069,0.14685,2.335747,0.154263,2.024076,0.160807,1.758776,0.186816,1.346523,0.273348,1.02313,0.384167,0.648336
0.658333,0.126284,2.905181,0.131339,2.835547,0.137099,2.711085,0.146878,2.33575,0.1544,2.024095,0.161022,1.758608,0.187274,1.346743,0.274263,1.023603,0.385401,0.648738
