femur 1		femur 4		tibia 1		tibia4	
X	Y	X	Y	X	Y	X	Y
1.516341	1.332858	1.536884	0.933597	1.661969	0.79563	1.921238	0.664162
1.516337	1.332834	1.536964	0.93359	1.662226	0.79626	1.922093	0.665654
1.516328	1.332815	1.537042	0.933591	1.662447	0.796856	1.922972	0.667253
1.516326	1.332847	1.537081	0.933606	1.662655	0.797439	1.923481	0.669384
1.516343	1.332864	1.537132	0.933632	1.662828	0.798214	1.924298	0.67095
1.516321	1.332898	1.537149	0.933652	1.662995	0.798903	1.924757	0.673352
1.516302	1.332896	1.537149	0.933665	1.663147	0.799648	1.925866	0.674367
1.516321	1.332936	1.537151	0.933686	1.663291	0.80036	1.92642	0.676664
1.516315	1.332928	1.537151	0.933693	1.663406	0.801	1.927219	0.678225
1.516308	1.332934	1.537142	0.933685	1.663533	0.80163	1.927997	0.679919
1.516272	1.332889	1.537136	0.933664	1.663738	0.8023	1.928492	0.682202
1.516254	1.332874	1.537149	0.933643	1.663876	0.803001	1.928997	0.684388
1.516229	1.332838	1.537158	0.933613	1.663997	0.803642	1.930137	0.685445
1.516242	1.33281	1.537171	0.933592	1.664158	0.804358	1.930821	0.687298
1.51624	1.332794	1.537192	0.933574	1.664296	0.805001	1.931392	0.68933
1.516243	1.332813	1.537218	0.933594	1.664492	0.805627	1.932074	0.691077
1.516228	1.332821	1.537243	0.933595	1.664683	0.806344	1.932773	0.692904
1.516236	1.332856	1.537285	0.933645	1.664871	0.80707	1.933455	0.694953
1.51626	1.332884	1.537305	0.933672	1.665051	0.807746	1.934481	0.696413
1.516255	1.332915	1.537378	0.93369	1.665216	0.80843	1.935256	0.698269
1.516271	1.332904	1.537431	0.933705	1.665389	0.809155	1.935798	0.700159
1.516312	1.33292	1.537517	0.933717	1.665583	0.809799	1.936408	0.701936
1.516314	1.332904	1.537612	0.933708	1.665768	0.810441	1.937031	0.703833
1.516346	1.332899	1.537697	0.933679	1.665952	0.8111	1.937609	0.705652
1.516345	1.332859	1.537763	0.933646	1.666122	0.8117	1.938135	0.707747
1.516382	1.332855	1.537839	0.933652	1.666332	0.812347	1.938809	0.7093
1.516407	1.332849	1.537902	0.933634	1.666541	0.812983	1.939416	0.711119
1.516427	1.332857	1.537979	0.933643	1.666704	0.813608	1.939988	0.712907
1.516451	1.332844	1.538049	0.933654	1.66682	0.814271	1.940574	0.714707
1.51648	1.332878	1.538106	0.933668	1.666964	0.815013	1.94115	0.716563
1.516482	1.33286	1.538194	0.93367	1.667156	0.815711	1.941749	0.718445
1.516503	1.332879	1.538228	0.933675	1.667333	0.816438	1.942308	0.720307
1.516506	1.332872	1.538301	0.933675	1.667512	0.817138	1.942848	0.722214
1.516518	1.332865	1.538356	0.933665	1.667661	0.817807	1.943406	0.724181
1.516525	1.332866	1.538386	0.93367	1.667788	0.818414	1.944001	0.726145
1.516522	1.33286	1.538446	0.933664	1.667942	0.819217	1.94462	0.728102
1.51651	1.332858	1.538464	0.933663	1.668139	0.819928	1.945182	0.730274
1.516511	1.332864	1.538511	0.933665	1.668276	0.820745	1.945717	0.732406
1.516506	1.33287	1.538549	0.933665	1.668421	0.821488	1.946289	0.734594
1.516499	1.332877	1.538576	0.933697	1.66853	0.822226	1.946914	0.736849
1.516481	1.332873	1.538588	0.933672	1.668657	0.822993	1.947503	0.739081
1.516464	1.33285	1.538601	0.93366	1.668825	0.823847	1.948107	0.74155
1.516426	1.332833	1.538603	0.933651	1.668914	0.824625	1.948727	0.744004
1.516436	1.332817	1.538602	0.933633	1.669031	0.825377	1.949231	0.746412
1.516426	1.332824	1.538582	0.933659	1.669129	0.826256	1.949859	0.748955
1.516405	1.332847	1.538576	0.933691	1.66927	0.827212	1.950409	0.751653
1.516396	1.332864	1.538537	0.9337	1.669329	0.828085	1.950956	0.754275
1.516388	1.3329	1.538518	0.933715	1.669357	0.828976	1.951551	0.757089
1.516404	1.332897	1.538474	0.933706	1.669441	0.829868	1.95213	0.759819
1.516394	1.332907	1.538424	0.933708	1.669548	0.830712	1.952872	0.762763
1.516359	1.332879	1.538388	0.933714	1.669643	0.831624	1.953404	0.765484
1.516376	1.332863	1.538351	0.933692	1.669666	0.832508	1.954146	0.768406
1.516392	1.332827	1.538318	0.933663	1.66966	0.833335	1.954471	0.771275
1.516394	1.332809	1.538284	0.93364	1.669715	0.834257	1.954902	0.774102
1.51638	1.332799	1.538263	0.933628	1.669832	0.835279	1.955339	0.776999
1.516392	1.33283	1.538245	0.933663	1.66992	0.836144	1.955795	0.779864
1.516429	1.332848	1.53822	0.933662	1.669916	0.836998	1.956181	0.782811
1.51645	1.332876	1.538214	0.933687	1.669939	0.837906	1.956665	0.785556
1.516443	1.332882	1.538222	0.933698	1.670003	0.838844	1.957057	0.788407
1.516465	1.33291	1.538242	0.933712	1.670104	0.839753	1.957485	0.791139
1.516492	1.332882	1.538265	0.933703	1.670205	0.840619	1.957752	0.793869
1.516516	1.332874	1.538311	0.933697	1.670238	0.841446	1.958107	0.796493
1.516494	1.332859	1.538355	0.933671	1.670245	0.842231	1.958472	0.799183
1.51651	1.332863	1.538401	0.933679	1.670287	0.84308	1.958755	0.80169
1.516553	1.332838	1.538445	0.93363	1.670363	0.843996	1.959241	0.804214
1.516551	1.332822	1.538517	0.933625	1.670451	0.844746	1.959521	0.806675
1.516538	1.332807	1.538546	0.933626	1.670513	0.845504	1.959784	0.809077
1.51654	1.332841	1.538614	0.933629	1.670517	0.846327	1.960079	0.811547
1.516576	1.332835	1.538653	0.933636	1.670504	0.847099	1.960278	0.813811
1.516585	1.332872	1.538715	0.93367	1.670554	0.848047	1.960468	0.816329
1.516548	1.332877	1.538796	0.933663	1.670636	0.848934	1.960677	0.818545
1.516542	1.332901	1.538849	0.933695	1.670658	0.849634	1.960887	0.820899
1.516567	1.332906	1.538909	0.933675	1.670622	0.850308	1.961017	0.823165
1.516573	1.332894	1.538974	0.93368	1.670658	0.851166	1.961132	0.825384
1.516565	1.332869	1.539032	0.933673	1.670705	0.852002	1.96137	0.827579
